"titre";"url";"Jeu par défaut";"PQN française";"PQR française";"Agence de presse";"Presse magazine";"Actualité nationale";"Actualité politique, débats et dossiers";"Actualité internationale";"Actualité économique et finance";"Actualité sciences, culture, arts et média";"Actualité énergie et environnement";"Actualité numérique";"Actualité sports";"Actualité Style, déco, famille et mode de vie";"Actualité argent et placements";"Actualité Justice, insolite, vidéos et faits-divers";"Actualité vie quotidienne, santé et auto-moto";"Actualité locale et sorties";"Actualité éducation, études formation et emploi";"Communauté du renseignement économique"
"Ouest-France.fr - A la une";"http://www.ouest-france.fr/rss-en-continu.xml";"oui";"non";"oui";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Ouest-France.fr - Monde-France";"http://www.ouest-france.fr/rss.xml?insee=FRA";"oui";"non";"oui";"non";"non";"oui";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Ouest-France.fr - Bretagne";"http://www.ouest-france.fr/rss.xml?region=Bretagne";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Ouest-France.fr - Normandie";"http://www.ouest-france.fr/rss.xml?region=Normandie";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Ouest-France.fr - Pays de la Loire";"http://www.ouest-france.fr/rss.xml?region=pays-de-la-loire";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Ouest-France.fr - Sports";"http://www.ouest-france.fr/rss-en-continu.xml?tid=75707";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"oui";"non";"non"
"Ouest-France.fr - Loisirs";"http://www.ouest-france.fr/rss-en-continu.xml?tid=75258";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"oui";"oui";"non";"non"
"Courrierdelouest.fr - Maine et Loire";"http://www.courrierdelouest.fr/taxonomy/term/21007/0/feed";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Courrierdelouest.fr - Deux Sèvres";"http://www.courrierdelouest.fr/taxonomy/term/21008/0/feed";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Courrierdelouest.fr - Tous les sports";"http://www.courrierdelouest.fr/taxonomy/term/20987+20990+20988+20989/0/feed";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"Courrierdelouest.fr - Cholet";"http://www.courrierdelouest.fr/taxonomy/term/20979/0/feed";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Courrierdelouest.fr - Saumur";"http://www.courrierdelouest.fr/taxonomy/term/20980/0/feed";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Courrierdelouest.fr - Segré";"http://www.courrierdelouest.fr/taxonomy/term/20981/0/feed";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Courrierdelouest.fr - Niort";"http://www.courrierdelouest.fr/taxonomy/term/20983/0/feed";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Courrierdelouest.fr - Bressuire";"http://www.courrierdelouest.fr/taxonomy/term/20984/0/feed";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Courrierdelouest.fr - Parthenay";"http://www.courrierdelouest.fr/taxonomy/term/20985/0/feed";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Courrierdelouest.fr - Thouars";"http://www.courrierdelouest.fr/taxonomy/term/20986/0/feed";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Courrierdelouest.fr - Baugé-en-Anjou";"http://www.courrierdelouest.fr/taxonomy/term/130450/0/feed";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Courrierdelouest.fr - Beaufort-en-vallée";"http://www.courrierdelouest.fr/taxonomy/term/130455/0/feed";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Courrierdelouest.fr - Chalonnes-sur-Loire";"http://www.courrierdelouest.fr/taxonomy/term/130455/0/feed";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Courrierdelouest.fr - Saint-Macaire-en-Mauge";"http://www.courrierdelouest.fr/taxonomy/term/130445/0/feed";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Courrierdelouest.fr - Trélazé";"http://www.courrierdelouest.fr/taxonomy/term/130440/0/feed";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Lemainelibre.fr - Sarthe";"http://www.lemainelibre.fr/taxonomy/term/21011/0/feed";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Lemainelibre.fr - Tous les sports";"http://www.lemainelibre.fr/taxonomy/term/25+24+26+27/0/feed";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"Lemainelibre.fr - Le Mans";"http://www.lemainelibre.fr/taxonomy/term/19/0/feed";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Lemainelibre.fr - Château-du-Loir";"http://www.lemainelibre.fr/taxonomy/term/21/0/feed";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Lemainelibre.fr - La Ferté";"http://www.lemainelibre.fr/taxonomy/term/18/0/feed";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Lemainelibre.fr - La Flèche";"http://www.lemainelibre.fr/taxonomy/term/22/0/feed";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Lemainelibre.fr - Mamers";"http://www.lemainelibre.fr/taxonomy/term/17/0/feed";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Lemainelibre.fr - Sablé";"http://www.lemainelibre.fr/taxonomy/term/23/0/feed";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"PresseOcean.fr - Loire Atlantique";"http://www.presseocean.fr/taxonomy/term/20990/0/feed";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"PresseOcean.fr - Tous les sports";"http://www.presseocean.fr/taxonomy/term/21214+20983+27/0/feed";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"oui";"non";"non"
"PresseOcean.fr - Nantes";"http://www.presseocean.fr/taxonomy/term/20985/0/feed";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"PresseOcean.fr - Saint-Nazaire";"http://www.presseocean.fr/taxonomy/term/20986/0/feed";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LeDauphine.fr - A la une";"http://www.ledauphine.com/actualite/a-la-une/rss";"oui";"non";"oui";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LeDauphine.fr - Ain";"http://www.ledauphine.com/ain/ain/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LeDauphine.fr - Haute-Provence";"http://www.ledauphine.com/haute-provence";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LeDauphine.fr - Haute-Alpes";"http://www.ledauphine.com/hautes-alpes";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LeDauphine.fr - Ardèche";"http://www.ledauphine.com/ardeche/ardeche/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LeDauphine.fr - Drôme";"http://www.ledauphine.com/drome/drome/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LeDauphine.fr - Isère-Sud";"http://www.ledauphine.com/isere-sud/isere-sud/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LeDauphine.fr - Isère-Nord";"http://www.ledauphine.com/isere-nord/isere-nord/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LeDauphine.fr - Savoie";"http://www.ledauphine.com/savoie/savoie/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LeDauphine.fr - Haute-Savoie";"http://www.ledauphine.com/haute-savoie/haute-savoie/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LeDauphine.fr - Vaucluse";"http://www.ledauphine.com/vaucluse/vaucluse/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LeDauphine.fr - Entreprise";"http://www.ledauphine.com/economie-et-finance/economie-et-finance/entreprises/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LeProgres.fr - A la une";"http://www.leprogres.fr/rss";"oui";"non";"oui";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LeProgres.fr - Rhône";"http://www.leprogres.fr/rhone-69/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LeProgres.fr - Loire";"http://www.leprogres.fr/loire-42/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LeProgres.fr - Haute-Loire";"http://www.leprogres.fr/haute-loire-43/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LeProgres.fr - Ain";"http://www.leprogres.fr/ain-01/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LeProgres.fr - Jura";"http://www.leprogres.fr/jura-39/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LeProgres.fr - France-Monde";"http://www.leprogres.fr/france-monde/rss";"oui";"non";"oui";"non";"non";"oui";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LeProgres.fr - Politique";"http://www.leprogres.fr/politique/rss";"oui";"non";"oui";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LeProgres.fr - Economie";"http://www.leprogres.fr/economie/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LeProgres.fr - Sports";"http://www.leprogres.fr/sports/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"oui";"non";"non"
"DNA.fr - A la une";"http://www.dna.fr/une-region/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"DNA.fr - Sports";"http://www.dna.fr/sports/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"DNA.fr - Culture";"http://www.dna.fr/une-culture/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"oui";"oui";"non";"non"
"DNA.fr - Fraits divers";"http://www.dna.fr/une-faits-divers/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non"
"EstRepublicain.fr - A la une";"http://www.estrepublicain.fr/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"EstRepublicain.fr - Sports";"http://www.estrepublicain.fr/sport-lorrain/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"oui";"non";"non"
"EstRepublicain.fr - Sports franc-comtois";"http://www.estrepublicain.fr/sport-franc-comtois/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"oui";"non";"non"
"EstRepublicain.fr - France-Monde";"http://www.estrepublicain.fr/actualite/france-monde/rss";"oui";"non";"oui";"non";"non";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"EstRepublicain.fr - Faits divers";"http://www.estrepublicain.fr/faits-divers/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non"
"EstRepublicain.fr - Economie";"http://www.estrepublicain.fr/economie+actualite/france-monde/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"EstRepublicain.fr - Art et culture";"http://www.estrepublicain.fr/art-et-culture/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"EstRepublicain.fr - Santé et médecine";"http://www.estrepublicain.fr/sante-et-medecine/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non"
"EstRepublicain.fr - Education";"http://www.estrepublicain.fr/education/l-actu-de-l-educ/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non"
"LePoint.fr - A la une";"http://www.lepoint.fr/24h-infos/rss.xml";"oui";"oui";"non";"non";"oui";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LePoint.fr - Actualités";"http://www.lepoint.fr/content/system/rss/24H/24H_doc.xml";"oui";"oui";"non";"non";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LePoint.fr - Insolites";"http://www.lepoint.fr/insolite/rss.xml";"oui";"oui";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non"
"LePoint.fr - Monde";"http://www.lepoint.fr/content/system/rss/24H/24H_doc.xml";"oui";"oui";"non";"non";"oui";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LePoint.fr - Politique";"http://www.lepoint.fr/politique/rss.xml";"oui";"oui";"non";"non";"oui";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LePoint.fr - Société";"http://www.lepoint.fr/content/system/rss/24H/24H_doc.xml";"oui";"oui";"non";"non";"oui";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LePoint.fr - Sports";"http://www.lepoint.fr/sport/rss.xml";"oui";"oui";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"LePoint.fr - Art de vivre";"http://www.lepoint.fr/content/system/rss/24H/24H_doc.xml";"oui";"oui";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non"
"LePoint.fr - Gastronomie";"http://www.lepoint.fr/gastronomie/rss.xml";"oui";"oui";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non"
"LePoint.fr - Voyages";"http://www.lepoint.fr/content/system/rss/24H/24H_doc.xml";"oui";"oui";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"oui";"non";"non";"non"
"LePoint.fr - Culture";"http://www.lepoint.fr/culture/rss.xml";"oui";"oui";"non";"non";"oui";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LePoint.fr - Arts";"http://www.lepoint.fr/content/system/rss/24H/24H_doc.xml";"oui";"oui";"non";"non";"oui";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LePoint.fr - Cinéma";"http://www.lepoint.fr/cinema/rss.xml";"oui";"oui";"non";"non";"oui";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LePoint.fr - Livres";"http://www.lepoint.fr/content/system/rss/24H/24H_doc.xml";"oui";"oui";"non";"non";"oui";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LePoint.fr - Musique";"http://www.lepoint.fr/musique/rss.xml";"oui";"oui";"non";"non";"oui";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LePoint.fr - Diaporamas";"http://www.lepoint.fr/content/system/rss/24H/24H_doc.xml";"oui";"oui";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non"
"LePoint.fr - Economie";"http://www.lepoint.fr/economie/rss.xml";"oui";"oui";"non";"non";"oui";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LePoint.fr - Argent";"http://www.lepoint.fr/content/system/rss/24H/24H_doc.xml";"oui";"oui";"non";"non";"oui";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non"
"LePoint.fr - Bourse";"http://www.lepoint.fr/bourse/rss.xml";"oui";"oui";"non";"non";"oui";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non"
"LePoint.fr - Immobilier";"http://www.lepoint.fr/content/system/rss/24H/24H_doc.xml";"oui";"oui";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non"
"LePoint.fr - Les chroniqueurs et éditorialistes";"http://www.lepoint.fr/chroniques/rss.xml";"oui";"oui";"non";"non";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LePoint.fr - Médias 2.0";"http://www.lepoint.fr/content/system/rss/24H/24H_doc.xml";"oui";"oui";"non";"non";"oui";"non";"oui";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LePoint.fr - Défense ouverte";"http://www.lepoint.fr/chroniqueurs-du-point/jean-guisnel/rss.xml";"oui";"oui";"non";"non";"oui";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui"
"LePoint.fr - Tech&Net";"http://www.lepoint.fr/content/system/rss/24H/24H_doc.xml";"oui";"oui";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non"
"LePoint.fr - Planète Appli";"http://www.lepoint.fr/high-tech-internet/planete-appli/rss.xml";"oui";"oui";"non";"non";"oui";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lexpress.fr - A la une";"http://www.lexpress.fr/rss/alaune.xml";"oui";"oui";"non";"non";"oui";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lexpress.fr - Politique";"http://www.lexpress.fr/rss/politique.xml";"oui";"oui";"non";"non";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lexpress.fr - Société";"http://www.lexpress.fr/rss/societe.xml";"oui";"oui";"non";"non";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lexpress.fr - Monde";"http://www.lexpress.fr/rss/monde.xml";"oui";"oui";"non";"non";"oui";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lexpress.fr - Science et santé";"http://www.lexpress.fr/rss/science-et-sante.xml";"oui";"oui";"non";"non";"oui";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non"
"Lexpress.fr - Culture";"http://www.lexpress.fr/rss/culture.xml";"oui";"oui";"non";"non";"oui";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lexpress.fr - Sport";"http://www.lexpress.fr/rss/sport.xml";"oui";"oui";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"Lexpress.fr - Education";"http://www.lexpress.fr/rss/education.xml";"oui";"oui";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non"
"Lexpress.fr - Emploi";"http://www.lexpress.fr/rss/emploi.xml";"oui";"oui";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non"
"Lexpress.fr - Styles";"http://www.lexpress.fr/rss/styles.xml";"oui";"oui";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non"
"Lexpress.fr - Tendances";"http://www.lexpress.fr/rss/tendances.xml";"oui";"oui";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non"
"Lexpress.fr - Insolite";"http://www.lexpress.fr/rss/insolite.xml";"oui";"oui";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non"
"Lexpress.fr - Médias";"http://www.lexpress.fr/rss/medias.xml";"oui";"oui";"non";"non";"oui";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lexpress.fr - Vie pratique";"http://www.lexpress.fr/rss/viepratique.xml";"oui";"oui";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non"
"Lexpress.fr - Régions";"http://www.lexpress.fr/rss/regions.xml";"oui";"oui";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Lexpress.fr - Enquete";"http://www.lexpress.fr/rss/enquete.xml";"oui";"oui";"non";"non";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lexpress.fr - Vidéo";"http://www.lexpress.fr/rss/videos.xml";"oui";"oui";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non"
"Lexpress.fr - Nos dossiers";"http://www.lexpress.fr/rss/dossiers.xml";"oui";"oui";"non";"non";"oui";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lexpress.fr - Blogs";"http://www.lexpress.fr/rss/opinions.xml";"oui";"oui";"non";"non";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lexpress.fr - Christophe Barbier";"http://www.lexpress.fr/rss/edito-video-christophe-barbier.xml";"oui";"oui";"non";"non";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lexpansion.lexpress.fr - A la une";"https://lexpansion.lexpress.fr/rss/lexpansion.xml";"oui";"oui";"non";"non";"oui";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lentreprise.lexpress.fr - Actualité";"https://lentreprise.lexpress.fr/rss/actualite.xml";"oui";"oui";"non";"non";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Votreargent.lexpress.fr - Argent";"https://votreargent.lexpress.fr/rss/votre-argent.xml";"oui";"oui";"non";"non";"oui";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non"
"Marianne.net - A la une";"https://www.marianne.net/rss_choix_des_redactions.xml";"oui";"oui";"non";"non";"oui";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Valeursactuelles.com - A la une";"http://www.valeursactuelles.com/taxonomy/term/0/feed";"oui";"oui";"non";"non";"oui";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Valeursactuelles.com - Politique";"http://www.valeursactuelles.com/taxonomy/term/1/feed";"oui";"oui";"non";"non";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Valeursactuelles.com - Monde";"http://www.valeursactuelles.com/taxonomy/term/2/feed";"oui";"oui";"non";"non";"oui";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Valeursactuelles.com - Economie";"http://www.valeursactuelles.com/taxonomy/term/3/feed";"oui";"oui";"non";"non";"oui";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Valeursactuelles.com - Société";"http://www.valeursactuelles.com/taxonomy/term/4/feed";"oui";"oui";"non";"non";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Valeursactuelles.com - Science";"http://www.valeursactuelles.com/taxonomy/term/34/feed";"oui";"oui";"non";"non";"oui";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Valeursactuelles.com - Culture";"http://www.valeursactuelles.com/taxonomy/term/35/feed";"oui";"oui";"non";"non";"oui";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Valeursactuelles.com - Histoire";"http://www.valeursactuelles.com/taxonomy/term/36/feed";"oui";"oui";"non";"non";"oui";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Valeursactuelles.com - Faits divers";"http://www.valeursactuelles.com/taxonomy/term/37/feed";"oui";"oui";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non"
